place_id,phone,website,email,address
22f6daf4-c831-4d70-9691-da2edcaca407,,https://www.cine-rex.ch/kino.shtml,,Landstrasse 18
3df305f9-9cb4-438c-b6d6-88e72e516e54,,,,
a4001491-e3ec-4849-9738-90dc452183cd,,,,
4c31e0e6-7117-4a8d-81b7-344b43d40463,,,,
80051286-e513-4da7-8c49-5d069292cc9b,+41 33 673 60 60,https://www.hotelhari.ch/,info@hotelhari.ch,"Gartenweg 5, Adelboden 3715"
55e43c39-e0c4-489b-83c1-f44e44411e08,,https://www.parkhotel-bellevue.ch/,,"Bellevuestrasse 15, Adelboden 3715"
22662ebd-72f8-43dd-acc0-d79804cfc4b9,,,,
5ed201f4-10b6-4634-8cf6-95c3c1b23a54,,,,
6e3827cb-4900-4167-8ced-b9329b087d20,,http://www.gletscher.ch/snack-buvette-belvedere/,,
58ab31b1-9ce2-4d08-9b77-d23603752c44,,,,
09108956-8f86-4109-b1f0-61985cbe0c77,,,,"Bernstrasse 39, 3303"
459d401e-9d27-4b01-b511-180e4f1e5f5a,,,,
e6c3d6a7-435a-40f5-b1fa-70e65282512a,+41 41 883 03 42,,,"Gotthardstrasse, Intschi 6476"
9fd25be4-ad0a-4799-b05d-31a59f09fcd9,,,,"18, Altdorf UR 6460"
6c711557-5064-428c-ac55-5bb3022f4665,+41 41 870 16 80,,,"Seestrasse 7, Flüelen 6454"
09950356-c793-45c8-bf38-8d7aa6740232,,,,
90b74c68-034a-4a6c-a375-7f8c7a4f511d,+41918691235,,,
a684f253-4943-4e0b-ab3e-2438268cda74,,https://www.pizzeriatell.ch,,"Tellsgasse 27, Altdorf UR 6460"
84d92c05-58db-403f-8dea-5c5a132ee90a,,,,
54d76a5c-b551-44bb-9b63-c9fa7ef1a98b,,https://www.socarenergy.ch/,,"Usterstrasse 44, Dübendorf 8600"
e6da43bd-e5c6-4ad2-9d9e-2170c3d1a5ab,,,,
9b505620-69ac-4c93-977b-1ae1f3edf786,,,,
4f0a4548-f6ce-434b-aa6a-b00d2c624f56,,,,"Neumarkt 13, Winterthur 8400"
4143ae1a-20ad-43ed-bfe5-eb85fda7296c,,,,
9425c905-17f7-4cd0-94e5-92c78814c779,,https://find.shell.com/ch/fuel/10023368-shell-rheinfall/de_CH,,"Schaffhauserstrasse 38, Neuhausen am Rheinfall 8212"
23444da9-bdb7-4c8b-babc-9c5a07b1acd0,,,,
6a950a70-e7bb-4372-a4a3-c3fa924022e7,,,,
da2fde17-a501-4a35-b5d4-c13cde1efd34,,,,
079284d1-96bb-464e-8984-7249d56478bf,,,,
3b73a7b5-0491-42c2-b4c6-8a4fc5a546a0,,,,Kiental 3723
a48e64a8-4b6d-4538-891d-98350388c008,,,,
e10931b6-04ad-4b8e-a90a-336422b100a4,,,,
7ab500d4-b4cd-4a2a-a2b4-e40e43a4fec2,,,,
6645cbce-f30e-4b28-8883-58ec650acb92,,,,
49264fa8-1cf0-4f2e-8bdb-e7071b45b9e2,+41 31 333 01 17,https://www.hotel-jardin.ch/,info@hotel-jardin.ch,"Militärstrasse 38, Bern 3014"
4c9b680c-99af-4e8a-8172-3e04a8bff292,,,,
20e0ef14-18d3-484c-92b2-66048a4540b3,,https://www.kornhausbibliotheken.ch/Veranstaltungen.aspx,,"Kornhausplatz 18, Bern 3011"
1e8c9b5a-96b7-4ac5-a182-e57f5a904194,+41 31 808 12 01,https://www.abegg-stiftung.ch/,info@abegg-stiftung.ch,"Werner Abeggstrasse 67, Riggisberg 3132"
57350cf8-329d-4afb-acad-9419d4987ab3,,http://www.ibis.com/de/hotel-5049-ibis-budget-bern-expo-ex-etap-hotel/index.shtml,,"Guisanplatz 4, Bern 3014"
aa41d8ae-e95f-4666-9aaa-05b3d45331d8,,https://sorellhotels.com/de/arabelle/bern,,"Mittelstrasse 6, Bern 3012"
9421d5e6-6c12-40d8-8304-cb25d4e8df22,+41 55 614 11 77,https://www.sternen-obstalden.ch/,,
980362d4-4293-4002-ba8c-d449ab9ca06f,,https://www.hirschen-obstalden.ch/,,"Kerenzerbergstrasse 21, Obstalden 8758"
ac39ef4e-be5e-4fee-b03a-7a510be9dd1a,+41 31 970 33 33,https://www.gurtenpark.ch/de-CH/hotel,,
10b3af6b-2f70-454d-8941-089e4380096b,,https://www.restaurantbeaulieu.ch/,,
c107239a-2d8d-450a-bfbb-d97c8cc32ddf,,http://www.zumblauenengel.ch,,
1bac1b75-b19b-4d7a-b682-edb610066dac,+41 31 305 39 00,https://www.alibaba-bern.ch/,,
0eebb627-aab9-4794-9de8-bfedb4b40801,+41 31 301 23 40,https://restaurantzebra.ch/,,
2ba55052-aad7-4b18-b331-aebbb62c84fe,,https://www.glkb.ch/,,"Bahnhofstrasse 39, Näfels 8752"
876c0743-c23e-48fb-b365-d9c6c7ce0c11,,,,
42fa0eca-e7ad-4595-a5c4-5b4d070a8cc5,,,,
79b5a627-3f5c-4081-abe0-d07c9078352c,,,,
0681c0f9-2198-4acf-a01b-9ffe44aa4dda,,,,
b1df83ca-40a3-487c-b24f-a2600507660b,,https://www.raiffeisen.ch/benken/,,"Bahnhofstrasse 10, Uznach 8730"
ffcb870b-6fee-4bda-a1f8-a7e72d129358,,,,
47b68c3d-a485-424f-96e5-3532bf4fe704,+41-55-2801700,,,Bahnhofstrasse 6
81037d0c-fa2a-4a2e-a804-9892c3637e7f,,,,
801eb178-10c2-4261-bf2b-2436a76b4be3,,,,
26a6b364-fcfa-4145-9ade-0509556c109d,+41 71 274 30 83,http://www.waldburger-oel.ch/,,"Gasterstrasse, Schänis-Rufi 8723"
304e14cc-82f2-4e27-9553-7b50978cc5f7,,,,
f0ddd0f5-7f4f-4a71-b0fe-208e48ecc98e,,,,
356cf490-f7a5-447b-ac82-c67db13064c3,,,,
743a640c-6a6a-47e9-b16c-f14327740e3c,,https://www.migrol.ch/de/,,"Zürcherstrasse 48, Winterthur 8406"
fbb795ce-1c36-46cd-bf11-b9bdf1fdb564,,,,"Quai Ernest Ansermet 30, Genève"
0635d7f2-2de5-41cf-a610-b39787bb4e6b,,,,
c39badf1-aaad-4ff9-9507-6cc8714785a0,,,,
2b60f687-2b5c-4d60-94a9-fa930abc3234,,,,
e0a1b53f-13c6-4b8b-83ad-3890627490ee,,,,
3f0121a7-b5bc-4616-bed8-a975b90af1a0,,,,
57dc705f-23d4-4475-bd27-349ca24201b3,,,,
